SRCID,Mode,A1,A2,undecided_voter,A3,A4a,A4b,A4c,A4d,A4e,A4f,B1a,B1b,B1c,B1d,B4,B6f,B6g,B7,V1,D1a,D1b,D1c,D1d,D1e,D1f,D3,E1a,E1b,E1c,E1d,E1e,E1f,E1g,E1h,E11a,E13,F1a,F1b,F1c,F1d,F1e,F1f,F1g,F1h,F2a,F2b,F2c,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,A4F2_agg,opinionated
605,1,2,"""1""",FALSE,8,2,3,2,2,1,2,2,2,2,2,3,2,2,-98,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,4,2,1,1,2,1,1,1,2,2,1,2,2,4,3,1,"""1""",0.555555556,TRUE
606,1,2,"""3""",FALSE,7,3,3,3,1,2,1,1,2,2,1,3,1,1,1,4,3,3,3,3,1,2,2,2,2,2,1,1,2,1,2,2,4,4,2,2,3,2,1,2,3,2,3,3,1,2,2,2,"""2""",0.361111111,FALSE
607,1,4,"""-99""",FALSE,7,3,3,2,2,3,2,2,2,2,1,2,5,5,1,1,3,2,3,2,3,2,2,2,2,2,2,1,2,1,2,3,4,4,2,2,2,2,1,1,2,3,3,4,2,3,2,6,"""6""",0.25,FALSE
608,1,4,"""4""",FALSE,6,4,3,4,3,3,3,2,2,2,2,3,1,1,1,3,3,3,3,3,2,4,2,2,1,2,2,1,2,1,2,4,4,2,2,2,2,2,2,1,2,3,3,3,2,1,3,2,"""2""",0.277777778,FALSE
609,1,2,"""3""",FALSE,5,2,2,2,2,2,2,2,2,2,2,4,5,5,3,4,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,3,2,3,1,2,2,2,1,1,2,2,3,3,2,2,2,3,"""3""",0.25,FALSE
610,1,2,"""-98""",TRUE,7,2,2,2,1,2,1,2,2,2,1,2,5,5,1,4,3,2,3,2,2,2,2,1,1,2,2,2,2,1,2,2,4,2,1,1,1,1,1,1,1,2,2,2,2, ,1,3,"""3""",0.527777778,TRUE
611,1,4,"""4""",FALSE,7,3,2,3,1,-98,1,2,2,2,1,3,5,5,2,3,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,4,1,1,1,2,1,1,1,2,2,2,2,2,3,1,3,"""3""",6.083333333,FALSE
612,1,1,"""11""",FALSE,9,3,2,2,2,2,1,2,2,2,2,3,5,4,2,2,1,1,1,3,1,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,"""3""",0.472222222,FALSE
613,1,2,"""3""",FALSE,5,3,3,2,3,3,2,2,2,2,1,3,5,5,2,4,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,4,4,4,2,3,3,4,"""4""",0.416666667,FALSE
614,1,4,"""97""",FALSE,6,3,3,3,3,4,2,2,2,2,1,2,5,5,1,3,3,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,1,3,3,3,4,2,2,3,4,"""4""",0.305555556,FALSE
615,1,2,"""1""",FALSE,6,2,2,3,1,1,1,2,2,2,2,2,1,1,1,4,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,4,2,1,1,1,1,1,1,2,2,2,2,1,4,3,2,"""2""",0.583333333,TRUE
616,1,4,"""96""",FALSE,2,4,3,3,2,2,2,2,2,2,1,1,5,5,2,4,2,1,2,3,1,1,1,1,2,2,2,2,2,1,2,2,4,1,1,1,1,1,1,1,1,2,2,2,1,3,1,3,"""3""",0.472222222,FALSE
617,1,2,"""3""",FALSE,8,3,3,3,3,3,2,2,2,2,2,3,5,5,2,4,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,4,1,1,1,1,1,1,1,1,3,2,4,1,3,1,3,"""3""",0.333333333,FALSE
618,1,2,"""1""",FALSE,8,2,2,2,2,2,2,2,2,2,1,3,1,1,1,3,3,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,4,2,1,1,2,2,1,1,1,3,3,3,1,4,1,1,"""1""",0.166666667,FALSE
619,1,2,"""3""",FALSE,5,2,2,2,3,3,2,2,2,2,1,2,4,4,1,3,3,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,3,3,3,1,2,1,1,"""1""",0.166666667,FALSE
620,1,2,"""1""",FALSE,10,3,2,2,3,2,3,2,1,1,1,3,2,1,1,4,3,2,2,4,2,2,2,1,2,2,2,2,2,2,2,1,4,3,2,2,3,3,2,1,2,1,2,2,2,3,3,2,"""2""",0.5,TRUE
621,1,2,"""1""",FALSE,6,4,3,3,2,3,2,1,2,2,2,3,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,1,1,1,2,2,1,1,3,2,3,3,2,2,1,2,"""2""",0.305555556,FALSE
622,1,2,"""1""",FALSE,6,3,3,3,3,3,2,2,2,2,1,3,1,1,1,4,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,4,1,1,2,1,2,1,1,3,3,4,4,2,2,1,2,"""2""",0.333333333,FALSE
623,1,2,"""3""",FALSE,6,3,2,3,2,2,1,2,2,2,1,2,5,5,1,4,2,1,3,3,2,1,3,1,2,2,2,2,2,2,2,2,4,2,1,1,2,1,1,2,3,1,2,2,2,2,3,4,"""4""",0.555555556,TRUE
624,1,2,"""96""",FALSE,5,3,3,3,2,3,2,2,2,2,1,3,3,4,2,4,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,1,3,3,3,3,1,3,3,1,"""1""",0.166666667,FALSE
625,1,2,"""3""",FALSE,7,2,2,2,2,3,1,2,2,2,1,2,5,5,2,4,3,1,3,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,3,3,3,1,2,1,1,"""1""",0.222222222,FALSE
626,1,2,"""1""",FALSE,8,2,2,2,2,2,2,2,2,2,1,2,2,4,1,4,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,4,3,1,1,3,3,1,1,1,2,2,2,1,4,3,1,"""1""",0.416666667,FALSE
627,1,4,"""3""",FALSE,4,4,2,3,2,2,1,1,2,2,1,3,2,3,1,4,2,1,2,2,1,1,1,2,2,2,2,2,1,1,2,2,4,1,1,1,1,1,2,1,2,1,2,2,2,4,1,1,"""1""",0.611111111,TRUE
628,1,2,"""3""",FALSE,5,3,3,3,3,3,2,2,2,2,2,4,1,1,2,4,3,3,2,2,2,3,3,2,1,2,1,2,2,1,2,3,2,1,2,2,2,1,2,2,2,3,3,3,2,2,2,2,"""2""",0.166666667,FALSE
629,1,4,"""3""",FALSE,6,2,3,3,2,2,2,2,2,2,1,2,1,1,1,3,2,4,4,4,4,4,4,1,2,2,2,2,2,2,2,1,4,1,1,2,2,2,2,1,3,2,2,2,2,1,1,2,"""2""",0.416666667,FALSE
630,1,2,"""1""",FALSE,7,3,3,2,2,3,2,1,2,2,1,3,3,3,1,4,2,1,3,3,1,1,2,2,2,2,2,2,1,1,2,2,4,1,2,1,2,2,1,2,2,3,3,2,2,3,1,1,"""1""",0.25,FALSE
631,1,4,"""4""",FALSE,4,2,2,2,1,1,1,1,2,1,1,2,1,1,2,4,3,3,3,3,3,3,3,1,2,2,2,2,2,1,2,1,4,1,2,1,2,2,1,1,2,1,1,1,2,2,1,2,"""2""",0.833333333,TRUE
632,1,2,"""3""",FALSE,6,2,2,2,3,3,2,2,2,1,1,3,1,1,1,4,3,3,3,3,3,3,4,1,1,2,2,2,2,1,2,1,4,2,2,1,1,2,2,1,2,4,4,4,1,2,1,2,"""2""",0.416666667,FALSE
633,1,1,"""1""",FALSE,7,2,3,2,2,1,1,1,2,2,1,3,5,5,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,4,1,2,1,2,2,1,1,2,2,1,2,2,4,3,4,"""4""",0.611111111,TRUE
634,1,5,"""3""",FALSE,4,4,2,1,2,3,2,1,2,2,1,2,1,1,1,3,3,3,3,3,2,2,1,1,1,2,2,2,2,1,1,3,1,1,1,1,1,1,2,1,1,3,4,4,1,2,1,2,"""2""",0.444444444,FALSE
635,1,2,"""1""",FALSE,6,3,2,1,2,2,2,2,2,2,1,2,5,5,3,3,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,3,3,3,3,1,3,1,5,"""5""",0.222222222,FALSE
636,1,4,"""3""",FALSE,6,3,3,2,2,3,2,2,2,2,2,2,5,5,2,4,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,4,2,2,2,2,1,1,1,2,2,2,2,2,3,3,5,"""5""",0.416666667,FALSE
637,1,2,"""1""",FALSE,5,2,2,2,2,2,2,2,2,2,1,3,5,5,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,"""1""",0.416666667,FALSE
638,1,1,"""96""",FALSE,8,2,3,2,2,2,2,2,2,2,1,2,3,3,2,4,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,3,3,2,2,3,2,2,3,2,2,3,2,3,1,1,"""1""",0.333333333,FALSE
639,1,2,"""4""",FALSE,8,3,3,3,2,3,2,2,2,2,2,3,1,5,1,3,3,1,4,3,1,1,1,1,2,2,2,2,2,1,2,1,4,2,3,2,2,2,1,1,2,3,3,2,1,1,1,1,"""1""",0.25,FALSE
640,1,2,"""3""",FALSE,8,3,3,1,1,1,2,2,2,2,2,4,5,5,2,4,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,3,4,1,3,1,2,3,1,2,2,4,3,3,1,4,1,5,"""5""",0.416666667,FALSE
641,1,2,"""3""",FALSE,5,2,2,2,1,2,2,2,2,2,1,3,1,1,1,3,2,2,4,2,1,1,3,2,-98,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,3,3,2,2,1,3,2,"""2""",0.305555556,FALSE
642,1,2,"""1""",FALSE,8,1,3,2,1,1,1,2,2,2,2,4,5,5,1,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,4,3,1,1,1,1,2,2,3,1,1,1,1,4,1,6,"""6""",0.888888889,TRUE
644,1,2,"""3""",FALSE,7,3,2,2,2,1,1,2,2,2,2,3,5,5,2,3,3,4,3,4,4,4,4,1,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,4,4,4,2,3,3,3,"""3""",0.527777778,TRUE
645,1,4,"""6""",FALSE,6,2,2,3,2,2,2,2,2,2,2,3,5,5,2,4,1,2,3,3,1,1,2,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,3,1,2,1,1,3,1,3,"""3""",0.583333333,TRUE
646,1,2,"""3""",FALSE,4,2,3,3,1,1,1,2,2,2,2,3,2,4,1,4,3,4,3,4,4,5,4,2,2,2,1,2,2,2,2,2,4,1,1,1,1,1,1,1,1,2,2,3,1,4,3,1,"""1""",0.5,TRUE
647,1,4,"""4""",FALSE,5,4,2,2,2,2,1,1,2,2,1,2,1,1,1,4,3,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,2,2,2,3,1,2,1,2,"""2""",0.444444444,FALSE
648,1,4,"""3""",FALSE,7,3,2,3,2,2,1,2,2,1,1,3,3,3,1,4,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,4,1,1,1,1,2,2,1,2,2,3,3,1,4,1,1,"""1""",0.305555556,FALSE
649,1,4,"""4""",FALSE,8,3,1,2,1,1,2,2,2,2,2,3,5,5,2,4,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,3,4,1,1,1,1,1,1,1,3,1,1,1,1,3,3,4,"""4""",0.833333333,TRUE
650,1,4,"""3""",FALSE,7,3,2,3,2,3,2,1,2,2,1,3,2,2,1,4,2,3,4,3,4,4,3,2,2,2,2,2,1,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,"""1""",0.666666667,TRUE
651,1,2,"""3""",FALSE,5,3,2,3,2,3,2,2,2,2,2,2,4,2,1,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,"""1""",0.416666667,FALSE
652,2,2,"""1""",FALSE,8,2,3,3,2,2,3,2,2,2,2,3,5,5,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,4,4,3,2,2,4,1,1,1,1,2,2,2,4, ,8,"""8""",0.5,TRUE
653,1,2,"""1""",FALSE,7,2,3,2,2,2,2,2,2,1,2,3,5,5,2,3,3,2,3,3,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,3,1,3,"""3""",0.416666667,FALSE
654,1,2,"""3""",FALSE,6,2,2,2,1,1,2,1,2,2,1,3,5,2,3,2,2,1,1,3,1,2,1,2,2,2,2,2,1,1,2,1,3,1,2,1,2,1,2,1,1,2,2,2,1,4,2,4,"""4""",0.527777778,TRUE
655,1,4,"""1""",FALSE,7,3,2,3,2,3,2,2,2,2,1,3,3,3,1,4,3,2,4,3,2,3,2,2,2,2,2,2,1,2,2,2,4,1,2,1,1,2,1,1,2,3,2,4,1,4,3,3,"""3""",0.333333333,FALSE
656,1,2,"""4""",FALSE,8,2,2,2,2,2,2,2,2,2,1,3,2,3,1,4,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,"""1""",0.666666667,TRUE
657,1,1,"""3""",FALSE,7,2,2,2,1,1,1,2,2,2,1,2,5,3,1,4,3,3,3,3,2,2,1,1,2,2,2,2,2,1,1,3,4,1,1,1,1,1,1,1,1,3,3,3,2,3,2,1,"""1""",0.333333333,FALSE
658,1,2,"""3""",FALSE,8,3,2,2,2,2,2,2,2,2,1,3,1,1,1,4,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,4,1,2,2,2,2,2,2,3,3,3,2,1,4,2,2,"""2""",0.25,FALSE
659,1,1,"""1""",FALSE,7,1,1,1,1,1,1,2,2,2,1,3,1,1,1,4,3,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,4,1,2,2,1,1,1,1,1,1,1,1,2,4,1,2,"""2""",1,TRUE
660,1,2,"""1""",FALSE,7,2,3,2,3,2,2,2,2,2,2,3,5,5,2,2,1,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,4,4,3,2,3,3,1,1,3,2,2,2,1,2,2,4,"""4""",0.416666667,FALSE
661,1,2,"""1""",FALSE,6,2,2,1,2,2,2,2,2,2,1,2,2,5,1,4,3,3,2,3,2,1,1,2,2,1,2,2,2,1,2,4,2,1,1,1,1,1,1,1,1,2,2,3,2,2,1,6,"""6""",0.388888889,FALSE
662,1,2,"""3""",FALSE,7,2,2,2,1,1,1,1,2,2,1,2,1,1,1,4,2,2,3,3,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,3,3,2,2,1,2,"""2""",0.416666667,FALSE
663,1,5,"""1""",FALSE,8,1,3,2,2,3,3,2,2,2,2,4,5,5,3,4,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,4,4,2,2,2,3,2,2,3,2,2,2,1,4,3,5,"""5""",0.472222222,FALSE
664,1,2,"""1""",FALSE,4,2,2,3,1,1,2,1,2,1,2,2,1,1,1,3,3,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,4,2,2,1,2,1,2,1,1,2,2,3,2,2,2,2,"""2""",0.444444444,FALSE
665,1,2,"""1""",FALSE,9,1,2,1,2,2,2,2,2,2,1,2,3,5,1,3,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,4,2,2,1,1,2,1,1,1,4,3,4,2,4,3,1,"""1""",0.444444444,FALSE
666,1,5,"""4""",FALSE,5,4,2,3,2,2,3,1,2,2,1,2,5,5,2,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,1,1,4,1,1,1,1,1,1,1,4,2,3,2,1,2,1,8,"""8""",0.388888889,FALSE
667,1,2,"""3""",FALSE,2,3,2,3,1,2,1,2,2,2,1,1,1,1,1,4,5,2,2,3,2,2,2,2,1,2,2,2,2,1,2,4,4,2,1,1,2,1,1,1,1,5,5,5,2,1,2,2,"""2""",0.777777778,TRUE
668,1,5,"""3""",FALSE,5,3,3,2,3,2,2,2,2,2,1,2,1,1,1,4,5,3,5,3,1,1,3,2,2,2,2,1,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,"""3""",0.416666667,FALSE
669,1,1,"""1""",FALSE,8,1,2,1,1,2,2,2,2,2,2,3,1,2,1,4,2,1,1,1,1,1,2,2,2,2,2,2,1,2,-98,2,4,3,3,3,3,3,3,3,3,2,2,2,1,4,1,1,"""1""",0.583333333,TRUE
670,1,2,"""-98""",TRUE,8,3,4,4,2,1,2,2,2,2,1,3,5,5,1,3,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,4,1,3,3,2,3,1,1,2,2,1,2,1,4,1,1,"""1""",0.666666667,TRUE
671,1,2,"""4""",FALSE,6,2,2,2,1,2,1,1,2,1,1,3,1,1,2,4,4,3,1,4,2,2,4,2,1,1,2,2,2,1,2,3,4,1,1,2,2,1,1,1,2,1,3,2,2,2,2,2,"""2""",0.527777778,TRUE
672,1,4,"""6""",FALSE,8,3,2,2,2,3,2,1,2,2,1,2,5,5,2,4,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,2,2,2,1,2,1,3,"""3""",0.416666667,FALSE
673,1,2,"""1""",FALSE,9,3,4,3,2,2,2,2,2,2,2,3,5,5,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,2,3,2,2,3,2,2,2,2,2,2,1,4,3,5,"""5""",0.472222222,FALSE
674,1,2,"""4""",FALSE,3,3,3,1,2,1,1,1,2,2,1,3,1,1,1,4,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,2,2,3,2,1,3,1,2,"""2""",0.5,TRUE
675,1,4,"""4""",FALSE,5,3,3,1,2,2,1,2,2,2,1,2,1,1,1,4,4,3,3,4,4,4,4,2,2,1,2,2,1,1,2,2,4,1,1,1,2,1,1,1,2,2,3,2,1,3,1,2,"""2""",0.444444444,FALSE
676,1,2,"""3""",FALSE,4,2,1,2,1,2,1,1,2,2,1,2,1,1,1,4,3,2,3,3,1,1,2,1,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,1,2,2,3,3,1,2,1,2,"""2""",0.416666667,FALSE
677,1,2,"""2""",FALSE,8,2,3,2,1,1,2,2,2,2,1,3,5,5,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,3,3,3,2,3,2,1,3,1,1,1,1,4,2,4,"""4""",0.777777778,TRUE
678,1,1,"""4""",FALSE,7,3,3,3,2,2,2,2,2,2,2,2,1,3,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,4,1,1,1,2,1,1,1,2,2,2,3,1,4,1,1,"""1""",0.333333333,FALSE
680,1,2,"""4""",FALSE,8,2,2,2,1,1,1,2,2,2,1,3,5,5,2,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,2,3,3,3,1,3,3,3,"""3""",0.333333333,FALSE
681,1,2,"""3""",FALSE,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,4,4,3,3,3,2,1,2,1,2,2,2,2,2,1,2,1,4,1,3,1,2,2,1,1,3,2,2,2,2,2,2,2,"""2""",0.416666667,FALSE
682,1,4,"""4""",FALSE,7,3,1,3,1,2,2,2,2,2,2,3,3,4,2,4,2,1,3,4,1,2,1,1,1,2,2,2,2,2,2,2,4,1,1,2,2,2,1,1,3,3,3,3,1,1,1,1,"""1""",0.277777778,FALSE
683,1,2,"""3""",FALSE,8,2,2,2,2,2,2,2,2,2,2,3,5,5,2,4,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,"""1""",0.166666667,FALSE
684,1,2,"""1""",FALSE,9,2,2,2,1,1,1,1,2,2,2,4,5,5,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,2,2,1,2,2,1,2,2,2,2,2,1,4,2,6,"""6""",0.583333333,TRUE
685,1,4,"""3""",FALSE,6,4,2,3,3,2,1,2,2,2,2,2,1,2,1,4,2,2,3,3,1,2,2,1,2,2,2,2,2,2,2,2,4,1,1,1,1,2,1,1,2,1,3,2,1,3,1,1,"""1""",0.527777778,TRUE
686,1,1,"""6""",FALSE,7,1,3,3,2,1,1,2,2,2,1,3,5,5,3,3,1,1,1,1,1,1,1,2,2,2,2,2,1,1,-98,2,4,3,2,2,1,3,2,2,2,2,2,2,2,4,1,3,"""3""",0.583333333,TRUE
687,1,2,"""1""",FALSE,8,2,2,2,2,2,2,2,2,2,1,3,5,5,2,4,2,1,2,2,1,1,1,1,2,2,2,2,2,1,-98,1,4,2,1,1,1,1,1,2,2,2,2,2,2,3,2,6,"""6""",0.416666667,FALSE
688,1,4,"""96""",FALSE,1,4,3,4,4,4,2,1,2,2,1,3,4,4,3,1,2,2,3,1,1,1,1,2,2,2,1,1,2,1,2,4,4,1,1,3,1,1,1,1,3,4,4,3, ,2,1,4,"""4""",0.555555556,TRUE
689,1,2,"""1""",FALSE,8,4,3,3,3,3,3,2,2,2,1,2,5,5,1,4,2,2,1,2,2,1,1,2,2,2,2,2,1,1,-98,1,4,2,2,2,2,2,1,1,2,3,3,3,2,4,3,5,"""5""",0.222222222,FALSE
690,1,5,"""3""",FALSE,8,3,3,3,1,4,2,1,2,1,1,3,3,3,1,3,4,3,5,3,2,3,2,1,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,"""1""",0.444444444,FALSE
691,1,2,"""1""",FALSE,9,2,2,2,2,2,1,2,2,2,1,3,5,5,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,1,2,1,2,2,2,2,2,2,2,2,1,3,1,3,"""3""",0.472222222,FALSE
692,1,2,"""6""",FALSE,8,2,2,3,1,1,2,2,2,2,2,2,5,5,2,4,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,4,3,3,3,2,3,2,3,3,2,2,2,1,3,3,3,"""3""",0.527777778,TRUE
693,1,2,"""3""",FALSE,7,3,2,3,2,2,2,2,2,2,1,3,5,5,2,4,3,2,4,4,2,2,3,1,2,2,2,2,2,1,1,3,4,1,2,2,2,3,1,2,3,3,3,3,2,2,1,4,"""4""",0.166666667,FALSE
694,1,2,"""3""",FALSE,10,2,2,2,2,2,1,2,2,2,2,2,5,5,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,2,1,2,2,2,1,2,2,3,3,3,1,4,1,4,"""4""",0.222222222,FALSE
695,1,2,"""1""",FALSE,8,3,3,2,3,3,1,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,3,2,1,2,4,2,2,2,3,3,3,1,2,1,4,"""4""",0.222222222,FALSE
696,1,4,"""4""",FALSE,8,3,3,3,2,3,2,2,2,2,2,3,5,5,2,3,2,2,2,3,1,1,1,2,2,2,2,2,1,1,2,2,4,1,1,1,1,1,1,1,2,2,2,2,2,3,1,3,"""3""",0.416666667,FALSE
697,1,2,"""3""",FALSE,7,2,2,2,1,2,1,2,2,2,1,3,1,1,1,4,3,2,3,4,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,"""1""",0.527777778,TRUE
698,1,1,"""1""",FALSE,8,2,2,1,2,2,2,2,2,2,1,3,5,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,4,3,2,2,2,2,2,2,3,3,3,3,1,4,2,5,"""5""",0.222222222,FALSE
699,1,2,"""1""",FALSE,10,2,2,1,1,1,1,2,2,2,2,2,5,5,2,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,2,3,2,3,1,3,3,5,"""5""",0.472222222,FALSE
700,1,4,"""4""",FALSE,3,3,3,3,2,4,1,1,2,1,1,3,2,2,1,4,4,4,5,4,3,4,3,1,2,2,2,2,2,1,2,3,2,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,"""1""",0.444444444,FALSE
701,1,1,"""3""",FALSE,9,2,2,2,2,2,1,2,2,2,1,3,1,1,1,4,3,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,4,1,2,2,1,2,1,1,2,3,3,3,1,2,1,2,"""2""",0.222222222,FALSE
702,1,2,"""3""",FALSE,7,2,2,2,1,1,1,2,2,2,2,3,5,5,1,4,1,1,1,2,2,1,3,2,2,2,2,2,1,1,-99,3,4,1,2,2,2,2,1,1,2,3,3,3,2,4,3,4,"""4""",0.333333333,FALSE
703,1,2,"""1""",FALSE,7,2,2,2,2,2,2,2,2,2,2,3,4,4,3,3,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,4,4,3,2,2,3,4,3,3,3,3,3,1,3,3,1,"""1""",0.166666667,FALSE
704,1,2,"""1""",FALSE,6,1,3,3,1,2,1,1,2,2,2,2,5,5,2,3,1,1,1,1,1,1,1,-99,-99,-99,-99,-99,1,1,1,2,4,4,2,3,1,2,2,2,2,3,3,3,2,4,1,3,"""3""",0.333333333,FALSE
705,1,1,"""1""",FALSE,8,2,3,1,2,2,2,2,2,2,1,3,5,5,1,4,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,4,2,1,1,1,3,1,1,3,1,2,1,1,3,3,5,"""5""",0.638888889,TRUE
706,1,2,"""1""",FALSE,6,2,2,2,2,1,1,2,2,2,2,4,5,5,2,4,2,1,2,3,1,1,1,1,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,2,2,2,2,3,1,1,"""1""",0.527777778,TRUE
707,1,4,"""3""",FALSE,7,4,2,1,2,1,2,2,2,2,2,4,-98,5,2,-98,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,4,1,1,1,1,1,1,1,1,2,2,2,2,4,3,3,"""3""",0.583333333,TRUE
708,1,2,"""26""",FALSE,7,2,2,3,2,2,2,1,1,2,1,2,1,1,1,4,2,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,"""2""",0.416666667,FALSE
709,1,2,"""3""",FALSE,8,2,2,2,1,1,1,2,2,2,1,2,5,5,2,4,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,2,1,1,2,1,2,2,4,4,3,3,1,3,3,8,"""8""",0.416666667,FALSE
710,1,4,"""1""",FALSE,7,2,3,2,2,2,2,2,2,2,1,2,1,1,2,4,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,2,1,2,1,2,1,4,"""4""",0.5,TRUE
711,1,1,"""1""",FALSE,8,1,1,2,2,2,1,1,2,2,2,3,1,1,1,4,3,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,3,3,1,2,1,2,3,1,2,"""2""",0.75,TRUE
712,1,2,"""1""",FALSE,6,2,3,2,1,2,2,2,2,2,2,3,5,5,2,3,2,2,3,3,2,1,1,1,2,2,2,2,2,2,2,1,4,3,1,1,1,1,1,1,1,2,2,2,1,2,2,1,"""1""",0.472222222,FALSE
713,1,4,"""4""",FALSE,3,3,3,2,3,3,2,1,2,2,1,3,1,1,1,4,2,4,5,5,2,2,3,1,2,2,2,2,2,2,2,2,4,1,2,2,2,2,1,1,4,2,3,4,2,1,2,2,"""2""",0.333333333,FALSE
